"plate","Pot","Genotype","Time","EGF1a_mean","Ta54227_mean","VRN1_mean","VRN2_mean","VRN3_mean","EdeltaCT_VRN1","EdeltaCT_VRN2","EdeltaCT_VRN3","TdeltaCT_VRN1","TdeltaCT_VRN2","TdeltaCT_VRN3","Date"
"1","31","BS",1,24.0606260299683,25.6747449239095,26.8791186014811,32.0517616271973,32.3329493204752,0.141758527511385,0.00393032519898333,0.00323431679335666,0.433957698316329,0.0120316915456708,0.00990103873051436,"Date1"
"1","55","BS",1,25.8346805572509,27.0913321177164,28.3069432576498,34.8109798431396,31.9317061106364,0.18020829180958,0.00198547610567771,0.0146087287090168,0.430590638750032,0.00474410703293312,0.0349061730899059,"Date1"
"1","98","BS",1,25.4977445602417,26.5229670206706,27.8065185546875,32.2926464080811,32.0910714467367,0.201831884146319,0.00900597477505198,0.0103564481677593,0.410783023638426,0.018329619051791,0.0210782013481214,"Date1"
"1","185","BS",1,24.9092025756836,26.0259641011556,26.7940921783447,34.2342084248861,30.6716785430908,0.270764479921118,0.00155917021440548,0.0184213682571418,0.587178855701676,0.00338121079473003,0.0399485114769814,"Date1"
"1","37","BS",2,24.2662626902262,24.9805119832357,26.2056738535563,31.6780672073364,31.5132083892823,0.260722832645401,0.00587252018695797,0.00658342614141933,0.427749516671662,0.00963462864425181,0.0108009617779265,"Date1"
"1","80","BS",2,24.1832256317138,25.2732690175374,26.5847682952881,32.0687001546224,30.4609203338623,0.189262085969194,0.00422898007114008,0.012889188971515,0.402901958141296,0.00900267131093648,0.0274385619754919,"Date1"
"1","139","BS",2,24.8929042816162,25.7899494171143,27.0222918192546,31.8370037078857,33.460901260376,0.228554869577227,0.00812115463209503,0.00263497140543903,0.42562582594754,0.015123603160707,0.00490696996682972,"Date1"
"1","161","BS",2,26.6020231246948,27.0446968078613,28.509131749471,34.5481510162354,32.0110905965169,0.266626369364299,0.00405487205470363,0.0235346878474099,0.362377442723783,0.00551106092491534,0.0319864836241844,"Date1"
"1","3","BS",3,24.935338973999,25.9808540344238,27.0163027445475,33.3695049285889,30.5079085032145,0.236356464577571,0.00289109963757256,0.0210130657186931,0.4878641202379,0.00596752783438907,0.0433731348904437,"Date1"
"1","92","BS",3,24.7283477783203,25.9490871429443,27.2581628163656,32.8509813944499,30.1631234486898,0.173160882330219,0.00358792732595368,0.023119024409426,0.40357936782183,0.00836224338033621,0.0538826155783875,"Date1"
"1","101","BS",3,24.0153687795003,25.3083127339681,26.6666927337647,31.8242616653442,31.4316342671712,0.159173938215511,0.0044595291640691,0.00585438975853365,0.390019996932116,0.0109270749369411,0.0143448676414052,"Date1"
"1","189","BS",3,26.0713532765706,26.0456860860189,27.3186950683594,31.8903102874756,33.8113835652669,0.421223609995487,0.0177141124078463,0.00467755298588631,0.413795831703479,0.0174017450654587,0.00459506989209996,"Date1"
"2","6","BS",4,24.7079343795776,26.4655847549438,27.7841002146403,33.3112182617188,31.8140481313069,0.118571908992794,0.00257130438388605,0.00725849543667938,0.400947303345967,0.00869478755599214,0.0245443815184124,"Date1"
"2","93","BS",4,23.9804363250732,25.7396710713704,26.988379796346,32.5713488260905,31.5428304672241,0.124313641936331,0.00259344861200668,0.0052904489030376,0.420824695583543,0.00877930374864443,0.0179091491041775,"Date1"
"2","99","BS",4,23.9246921539306,25.5098819732666,27.0111064910889,31.0938472747803,NA,0.117732591978219,0.00694815127065042,NA,0.353253432017588,0.020847738432436,NA,"Date1"
"2","171","BS",4,25.5309810638428,27.0712331136068,28.2907829284668,34.8834991455079,32.9817810058594,0.14764435831624,0.00152971851222479,0.00571591452465844,0.429416694458204,0.00444911457818185,0.0166244694275899,"Date1"
"2","20","BS",5,23.6995194753011,25.5820223490397,27.6176891326904,31.4952182769775,30.610761642456,0.0661474954394828,0.00450050059582374,0.00830823554043779,0.243895190854834,0.0165939835585302,0.0306336419744849,"Date1"
"2","86","BS",5,23.9804979960124,25.5103905995687,27.1334807078044,33.9105796813965,33.0354290008545,0.11242363621348,0.00102505590854848,0.00188015718579269,0.324639373635747,0.00295999595192688,0.00542922353065914,"Date1"
"2","109","BS",5,24.4989395141602,25.9473400115967,27.6171404520671,34.0876922607422,32.0824203491211,0.115166981753076,0.00129866699196997,0.00521368510417759,0.314296815455876,0.00354413125794122,0.0142284238076682,"Date1"
